,,,,
Region,Location,Remarks,Address,
,Raffles Shopping Arcade,"Near Burgers & Lobsters, L1. Male + Handicap","328 North Bridge Rd, Singapore 188719",
,Royal Plaza on Scotts Singapore,handicap: toilet at L2,"25 Scotts Rd, Singapore 228220",
,Shaw Plaza,Male: level 1,"360 Balestier Rd, Shaw Plaza, Singapore 329783",
,Shenton Way MRT Station (TE19),At Handicap toilet only,"2 Park St, Singapore 018928",
,Singhealth Tower,At Handicap toilet only,"10 Hospital Blvd, Singapore 168582",
,Suntec City,"*all bidets removed as of 25/7*

EAST WING (L3, near burger king)
- Handicap only

WEST WING (B1, near Jolibee)
- Handicap only","3 Temasek Blvd, Singapore 038983",
,Suntec Singapore Convention & Exhibition Centre,"- Level 3, last cubicle","1 Raffles Blvd, Singapore 039593",
,Takashimaya Shopping Centre,"Male's elderly cubicle, and handicap toilet at level 5 Tower B","391 Orchard Rd, Singapore 238872",
,TARIK,Unisex toilet,"16 Bali Ln, Singapore 189852",
,Taste Orchard,"Orchard Point / Taste Orchard, Level B1, within Hao Eccellente Supermarket, next to the cashier, inside the ambulant cubicles in both the male & female toilets!","160 Orchard Rd, Singapore 238842",
,Tekka Place,"Male + Handicap toilet, both at Basement","2 Serangoon Rd, Singapore 218227",
,The Adelphi,,"1 Coleman St, Singapore 179803",
,The ARK @ Cuppage,Level 10,"51 Cuppage Rd 51, Old Starhub Centre, Level 10 Cuppage Building, Singapore 229469",
,The Cage - Pitch 5,,"38 Jln Benaan Kapal, Singapore 399635",
,Three's A Crowd - Little India,"Unisex toilet, open to public","50 Race Course Rd, Singapore 218562",
,Tiong Bahru Plaza,"Bidet at female's, Level 1. elderly cubicle only","302 Tiong Bahru Rd, Singapore 168732",
,UNIQLO Orchard Central (Global Flagship),"Handicap only, level 2","181 Orchard Rd, #01-01 to 04/23-25, Singapore 238896",
,Valley Point - Office Tower,Handicap toilet at Level 9,"491 River Valley Rd, Singapore 248371",
,Volkswagen Singapore,All cubicles,"247 Alexandra Rd, Singapore 159934",
,Wheelock Place,"Handicap only, B1 near starbucks","501 Orchard Rd, Singapore 238880",
,Wine Connection Bistro (Capital Square),Handicap only,"25 Church St, #01-01 Capital Square 3, Singapore 049482",
,Wisma Atria,Handicap only,"435 Orchard Rd, Singapore 238877",
,,,,
SOUTH,Anytime Fitness Pasir Panjang,toilet found beside anytime fitness,"44 Pasir Panjang Rd, Blk #A01, Singapore 118504",
,Beach Station,Handicap only,"50 Siloso Beach Walk, Singapore 884011",
,Mount Faber Park,,99448,
,Harbourfront MRT,"Handicap only, exit C",,
,Mess Hall @ Sentosa,,"12 Artillery Ave, 099953",
,Telok Blangah MRT,Handicap toilet only,"463 Telok Blangah Rd, Singapore 109028",
,Vivocity,"Handicap only, at level 1 beside owndays & L2 beside Toys r Us","1 HarbourFront Walk, Singapore 098585",
,VivoCity - Golden Village,"Male's handicap stall, found beside level 2 snack counter. Public access. ","1 HarbourFront Walk, #02-30 VivoCity, Singapore 098585",
,Vivocity - library@harbourfront,handicap only,"1 HarbourFront Walk, #03-05 VivoCity, Singapore 098585",
,,,,
WEST,Bukit Batok Community Club,Level 3,"21 Bukit Batok Central, Singapore 659959",
,Bukit Gombak ActiveSG Gym,Unisex handicap toilets at Level 2 has bidets.,810 Bukit Batok West Avenue 5 Singapore 659088,
,Buona Vista MRT,Handicap only,"100 North Buona Vista Rd, Singapore 139349",
,Caltex Jurong West,,"100 Jurong West Ave 1, Singapore 649519",
,Civil Service Club @ Bukit Batok,Handicap toilet @ Bowling Place,"91 Bukit Batok West Ave 2, Singapore 659206",
,Clementi Bus Interchange,"Handicap only
near Macdonald's back exit","441 Commonwealth Ave W, Singapore 120441",
,Clementi Sports Hall,,"518 Clementi Ave 3, Clementi Sports Hall, Sports Complex, Singapore 129907",
,Connection One Tower 1,Male + Handicap ,169 Bukit Merah Central,
,Daily Ground,Unisex toilet at L2,"619D Bukit Timah Rd, #01-01, Singapore 269724",
,Esso 50 Chua Chu Kang Drive,,"50 Choa Chu Kang Dr, Singapore 689716",
,ESSO JURONG EAST,,"150 Jurong East Ave 1, Singapore 609787",
,Fusionopolis,"Handicap only
1. near R&B tea (opp koufu)
2. beside Daehwa (opp u-fit)",,
,Gul Circle MRT,Handicap only,"7A Tuas Rd, Singapore 637288",
,IMM,"level 3, beside best denki #03-33","2 Jurong East Street 21, Singapore 609601",
,Jem,Handicap only,"50 Jurong Gateway Rd, Singapore 608549",
,JTC LaunchPad (one-north),Bidet at handicap toilets,"73A Ayer Rajah Crescent, Singapore 139957",
,Jurong West Hawker Centre,"Bidet in both male, female and handicap toilets. For the male & female toilets, it will be at the elderly cubicle","50 Jurong West Street 61, #61, Singapore 648202",
,KAP Mall - EagleWings Cinematics,Handicap only (within the premium lounge),"9 King Albert Park, #01-58, Singapore 598332",
,Kent Ridge Park,"inside male toilet, the handicap/elderly cubicle!","Vigilante Dr, Singapore 118176",
,Limbang Shopping Centre,,"Choa Chu Kang Street 51, #532 533, Singapore 680534",
,Margaret Market,"Inside Margaret Marketplace, Level 1 within foodcourt, Male toilet all cubicles (only 2 cubicles)","38 Margaret Dr, Singapore 141038",
,NUH Main Building ,"Go to Level 3 of the main building, within NUH Heart Clinic, there is a unisex toilet with a built in bidet. Accessible to visitors.","5 Lower Kent Ridge Rd, Singapore 119074",
,Queensway Shopping Centre,Handicap toilet only,"1 Queensway, Singapore 149053",
,Rochester Mall,Handicap toilet only,"35 Rochester Dr, Singapore 138639",
,Senja-Cashew Community Club,"First floor, male toilet in the elderly/handicap cubicle","101 Bukit Panjang Rd, Singapore 679910",
,Senja Hawker Centre,"Level 2, handicap toilet","2 Senja Cl, Singapore 677632",
,Shell Bukit Panjang ,,"772 Upper Bukit Timah Rd, Singapore 678122",
,Singapore Science Centre KidsSTOP,,"21 Jurong Town Hall Rd, Singapore 609433",
,Temasek Club,,"131 Rifle Range Rd, Singapore 588406",
,The Star Vista,B1 & L2 next to Awfully Chocolate. Only one cubicle has bidet only.,"1 Vista Exchange Green, The Star Vista, Singapore 138617",
,West Coast Pier,,"60 W Coast Ferry Rd, Singapore 126979",
,Westgate,Level 4 last cubicle on the left,"3 Gateway Dr, Singapore 608532",
,,,,
NORTH,Admiralty MRT,Handicap toilet only,,
,Canberra Plaza,"Handicap only, level 2","133 Canberra View, Singapore 750133",
,Causeway Point,"Male: B1, L4 
Handicap: B1, L5, L7","1 Woodlands Square, Singapore 738099",
,Honda Mandai Service Centre,,"6A Mandai Estate, Singapore 729903",
,HomeTeamNS Khatib,Handicap toilet only,"2 Yishun Walk, Singapore 767944",
,Kranji MRT Station,Handicap toilet only,"960 Woodlands Rd, Singapore 738702",
,Khoo Teck Puat Hospital (KTPH),Level 1 near Foodfare,"90 Yishun Central, Singapore 768828",
,Masjid Yusof Ishak,,"10 Woodlands Dr 17, Singapore 737740",
,Northpoint City,"- Male at South Wing B2 near Soup Spoon
- Handicap at South Wing L2","930 Yishun Ave 2, Singapore 769098",
,Orchid Country Club,"Bidet at male toilet, outside of Royal Palm Restaurant","1 Orchid Club Rd, Singapore 769162",
,SAFRA - Yishun,,"60 Yishun Ave 4, Singapore 769027",
,Sinopec Woodlands,,"150 Woodlands Ave 5, Singapore 739375",
,Wisteria Mall,,"598 Yishun Ring Rd, Singapore 768698",
,Woodlands Galaxy Community Club,At level 5,"31 Woodlands Ave 6, Singapore 738991",
,Woodlands Train Checkpoint,"(after the Malaysian customs)
Male: 3 cubicles with bidet!","21 Woodlands Crossing, Singapore 738203",
,Woodlands Waterfront Park,,"Admiralty Rd W, Singapore 759956",
,Yishun Bus Interchange,,"920 Yishun Ave 2, Singapore 769100",
,Yishun Park Hawker Centre,,"51 Yishun Ave 11, Singapore 768867",
,,,,
INSTITUTIONS,James Cook University,All cubicles avail!,"149 Sims Dr, Singapore 387380",
,NTU,"Handicap toilets at all floors, at the School of Physical and Methematical Sciences","21 Nanyang Link, #04-01 School of Physical and Mathematical Sciences, Singapore 637371",
,NUS,"- Techno Edge Canteen
- USC",Singapore 117565,
,SMU Connexion,"Level 1, there are 2 male cubicles with bidet","40 Stamford Rd, Singapore 178908",
,SUSS,Handicap only,"Clementi Rd, 463, Singapore 599494",
,Temasek Polytechnic,"East wing (Near HSS) - Level 1, 3, 5 Handicap toilet ","21 Tampines Ave 1, Singapore 529757",
